t,private_company,public_company,sum,,,,,,,,
2021-05-14,25736,156816,182552,,,,,,,,
2021-05-15,25736,156816,182552,,,,,,,,
2021-05-16,25736,156816,182552,,,,,,,,
2021-05-17,25736,156816,182552,,,,,,,,
2021-05-18,25736,157045,182781,,,,,,,,
2021-05-19,25736,157045,182781,,,,,,,,
2021-05-20,25736,157045,182781,,,,,,,,
2021-05-21,25736,157045,182781,,,,,,,,
2021-05-22,25736,157045,182781,,,,,,,,
2021-05-23,25736,157045,182781,,,,,,,,
2021-05-24,25736,157045,182781,,,,,,,,
2021-05-25,25736,157045,182781,,,,,,,,
2021-05-26,25736,157045,182781,,,,,,,,
2021-05-27,25736,157045,182781,,,,,,,,
2021-05-28,25736,157045,182781,,,,,,,,
2021-05-29,25736,157045,182781,,,,,,,,
2021-05-30,25736,157045,182781,,,,,,,,
2021-05-31,25736,157045,182781,,,,,,,,
2021-06-01,25736,157045,182781,,,,,,,,
2021-06-02,25736,157045,182781,,,,,,,,
2021-06-03,25736,157045,182781,,,,,,,,
2021-06-04,25736,157045,182781,,,,,,,,
2021-06-05,25736,157045,182781,,,,,,,,
2021-06-06,25736,157045,182781,,,,,,,,
2021-06-07,25736,157045,182781,,,,,,,,
2021-06-08,25736,157045,182781,,,,,,,,
2021-06-09,25736,157045,182781,,,,,,,,
2021-06-10,25736,157045,182781,,,,,,,,
2021-06-11,25736,157045,182781,,,,,,,,
2021-06-12,25736,157045,182781,,,,,,,,
2021-06-13,25736,157045,182781,,,,,,,,
2021-06-14,25736,157045,182781,,,,,,,,
2021-06-15,25736,157045,182781,,,,,,,,
2021-06-16,25736,157045,182781,,,,,,,,
2021-06-17,25736,157045,182781,,,,,,,,
2021-06-18,25736,157045,182781,,,,,,,,
2021-06-19,25736,157045,182781,,,,,,,,
2021-06-20,25736,157045,182781,,,,,,,,
2021-06-21,25736,170050,195786,,,,,,,,
2021-06-22,25736,170050,195786,,,,,,,,
2021-06-23,25736,170050,195786,,,,,,,,
2021-06-24,25736,170050,195786,,,,,,,,
2021-06-25,25736,170050,195786,,,,,,,,
2021-06-26,25736,170050,195786,,,,,,,,
2021-06-27,25736,170050,195786,,,,,,,,
2021-06-28,25736,170050,195786,,,,,,,,
2021-06-29,25736,170050,195786,,,,,,,,
2021-06-30,25736,172070,197806,,,,,,,,
2021-07-01,25736,172070,197806,,,,,,,,
2021-07-02,25736,172070,197806,,,,,,,,
2021-07-03,25736,172070,197806,,,,,,,,
2021-07-04,25736,172070,197806,,,,,,,,
2021-07-05,25736,172070,197806,,,,,,,,
2021-07-06,25736,172070,197806,,,,,,,,
2021-07-07,25736,172070,197806,,,,,,,,
2021-07-08,25736,172070,197806,,,,,,,,
2021-07-09,25736,172070,197806,,,,,,,,
2021-07-10,25736,172070,197806,,,,,,,,
2021-07-11,25736,172070,197806,,,,,,,,
2021-07-12,25736,172070,197806,,,,,,,,
2021-07-13,25736,172070,197806,,,,,,,,
2021-07-14,25736,172070,197806,,,,,,,,
2021-07-15,25736,172070,197806,,,,,,,,
2021-07-16,25736,172070,197806,,,,,,,,
2021-07-17,25736,172070,197806,,,,,,,,
2021-07-18,25736,172070,197806,,,,,,,,
2021-07-19,25736,172070,197806,,,,,,,,
2021-07-20,25736,172070,197806,,,,,,,,
2021-07-21,25736,172070,197806,,,,,,,,
2021-07-22,25736,172070,197806,,,,,,,,
2021-07-23,25736,172070,197806,,,,,,,,
2021-07-24,25736,172070,197806,,,,,,,,
2021-07-25,25736,172070,197806,,,,,,,,
2021-07-26,25736,172070,197806,,,,,,,,
2021-07-27,25736,172070,197806,,,,,,,,
2021-07-28,25736,172070,197806,,,,,,,,
2021-07-29,25736,172070,197806,,,,,,,,
2021-07-30,25736,172070,197806,,,,,,,,
2021-07-31,25736,172070,197806,,,,,,,,
2021-08-01,25736,172070,197806,,,,,,,,
2021-08-02,25736,172070,197806,,,,,,,,
2021-08-03,25736,172070,197806,,,,,,,,
2021-08-04,25736,172070,197806,,,,,,,,
2021-08-05,25736,172070,197806,,,,,,,,
2021-08-06,25736,172070,197806,,,,,,,,
2021-08-07,25736,172070,197806,,,,,,,,
2021-08-08,25736,172070,197806,,,,,,,,
2021-08-09,25736,172070,197806,,,,,,,,
2021-08-10,25736,172070,197806,,,,,,,,
2021-08-11,25736,172070,197806,,,,,,,,
2021-08-12,25736,172486,198222,,,,,,,,
2021-08-13,25736,172486,198222,,,,,,,,
2021-08-14,25736,172486,198222,,,,,,,,
2021-08-15,25736,172486,198222,,,,,,,,
2021-08-16,25736,172486,198222,,,,,,,,
2021-08-17,25736,172486,198222,,,,,,,,
2021-08-18,25736,172486,198222,,,,,,,,
2021-08-19,25736,172486,198222,,,,,,,,
2021-08-20,25736,172486,198222,,,,,,,,
2021-08-21,25736,172486,198222,,,,,,,,
2021-08-22,25736,172486,198222,,,,,,,,
2021-08-23,25736,176393,202129,,,,,,,,
2021-08-24,25736,176393,202129,,,,,,,,
2021-08-25,25736,176393,202129,,,,,,,,
2021-08-26,25736,176393,202129,,,,,,,,
2021-08-27,25736,176393,202129,,,,,,,,
2021-08-28,25736,176393,202129,,,,,,,,
2021-08-29,25736,176393,202129,,,,,,,,
2021-08-30,25736,176393,202129,,,,,,,,
2021-08-31,25736,176393,202129,,,,,,,,
2021-09-01,25736,176393,202129,,,,,,,,
2021-09-02,25736,176393,202129,,,,,,,,
2021-09-03,25736,176393,202129,,,,,,,,
2021-09-04,25736,176393,202129,,,,,,,,
2021-09-05,25736,176393,202129,,,,,,,,
2021-09-06,25736,176393,202129,,,,,,,,
2021-09-07,25736,176393,202129,,,,,,,,
2021-09-08,25736,176393,202129,,,,,,,,
2021-09-09,25736,176393,202129,,,,,,,,
2021-09-10,25736,176393,202129,,,,,,,,
2021-09-11,25736,176393,202129,,,,,,,,
2021-09-12,25736,181443,207179,,,,,,,,
2021-09-13,25736,181443,207179,,,,,,,,
2021-09-14,25736,181443,207179,,,,,,,,
2021-09-15,25736,181443,207179,,,,,,,,
2021-09-16,25736,181443,207179,,,,,,,,
2021-09-17,25736,181443,207179,,,,,,,,
2021-09-18,25736,181443,207179,,,,,,,,
2021-09-19,25736,181443,207179,,,,,,,,
2021-09-20,25736,181443,207179,,,,,,,,
2021-09-21,25736,181443,207179,,,,,,,,
2021-09-22,25736,181443,207179,,,,,,,,
