t,treasuries,gold,loans_and_private_equity,private_credit,treasuries_7dma,gold_7dma,loans_and_private_equity_7dma,private_credit_7dma
2021-06-23,3226288.153,415674709.5,0.0001,23238839.4,2761050.375,317152871.3,0.0001,22510302.67
2021-06-24,3505646.522,414524733,0.0001,23067115.01,2894113.872,333485663.3,0.0001,22638911.62
2021-06-25,3473535.936,409732718.3,0.0001,24393841.01,3022239.382,349032954.2,0.0001,22940373.91
2021-06-26,3555441.598,413793373.6,0.0001,24290140.23,3160979.811,365311051.9,0.0001,23196126.23
2021-06-27,3494717.574,411616495.1,0.0001,24545053.29,3293121.291,381419147.4,0.0001,23502149.27
2021-06-28,3511495.201,406608167.4,0.0001,24701146.66,3427387.498,396459449.6,0.0001,23826865.53
2021-06-29,3642931.459,408754507.5,0.0001,24570796.8,3487150.92,411529243.5,0.0001,24115276.06
2021-06-30,3645546.575,407142454.2,0.0001,24810008.2,3547044.981,410310349.9,0.0001,24339728.74
2021-07-01,3728430.371,405410448.4,0.0001,25350444.1,3578871.245,409008309.2,0.0001,24665918.61
2021-07-02,4205689.213,408948942.5,0.0001,26052123.44,3683464.57,408896341.2,0.0001,24902816.1
2021-07-03,4203625.968,413782517.7,0.0001,25954016.44,3776062.337,408894790.4,0.0001,25140512.7
