,date,BTC_USD_Price,AGG_Volume,GBTC_Price,GBTC_Volume,BTC_Price,BTC_Volume,IBIT_Price,IBIT_Volume,FBTC_Price,FBTC_Volume,ARKB_Price,ARKB_Volume,BITB_Price,BITB_Volume,BTCO_Price,BTCO_Volume,HODL_Price,HODL_Volume,BRRR_Price,BRRR_Volume,EZBC_Price,EZBC_Volume,BTCW_Price,BTCW_Volume
2018-01-01 00:00:00+00:00,2018-01-01 00:00:00+00:00,13657.2001953125,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-02 00:00:00+00:00,2018-01-02 00:00:00+00:00,14982.099609375,265500099.77607727,24.851648330688477,265500099.77607727,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-03 00:00:00+00:00,2018-01-03 00:00:00+00:00,15201.0,189645501.92489624,24.78022003173828,189645501.92489624,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-04 00:00:00+00:00,2018-01-04 00:00:00+00:00,15599.2001953125,118795598.7663269,24.21977996826172,118795598.7663269,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-05 00:00:00+00:00,2018-01-05 00:00:00+00:00,17429.5,188900700.541687,25.690988540649414,188900700.541687,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-06 00:00:00+00:00,2018-01-06 00:00:00+00:00,17527.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-07 00:00:00+00:00,2018-01-07 00:00:00+00:00,16477.599609375,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-08 00:00:00+00:00,2018-01-08 00:00:00+00:00,15170.099609375,192913875.6275177,24.227802276611328,192913875.6275177,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-09 00:00:00+00:00,2018-01-09 00:00:00+00:00,14595.400390625,113183997.8012085,23.736263275146484,113183997.8012085,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2018-01-10 00:00:00+00:00,2018-01-10 00:00:00+00:00,14973.2998046875,210023112.46089935,21.54945182800293,210023112.46089935,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
